ID,NON,n0,n1,n2,n3,n4,n5,n6,n7
2311,8,583,584,7582,7560,21312,37425,37426,37424
2312,8,17676,21313,37427,21314,21315,37428,37431,37429
2313,8,21313,1296,7115,37427,37428,21317,37430,37431
2314,8,21314,37427,7115,7098,37429,37431,37430,21316
2315,8,17675,21317,37428,21315,21316,37430,37431,37429
2316,8,17999,21318,37432,21320,21321,37433,37436,37434
2317,8,21318,17673,21319,37432,37433,21323,37435,37436
2318,8,21320,37432,21319,17674,37434,37436,37435,21322
2319,8,17675,21323,37433,21321,21322,37435,37436,37434
2320,8,18536,21324,37437,21325,21326,37438,37440,37439
2321,8,21324,3278,14667,37437,37438,3279,14680,37440
2322,8,21325,37437,14667,3287,37439,37440,14680,14670
2323,8,223,3279,37438,21326,14670,14680,37440,37439
2324,8,18221,21327,37441,21329,21330,37442,37445,37443
2325,8,21327,18889,21328,37441,37442,21332,37444,37445
2326,8,21329,37441,21328,18327,37443,37445,37444,21331
2327,8,18953,21332,37442,21330,21331,37444,37445,37443
2328,8,18714,21333,37446,21334,21335,37447,37449,37448
2329,8,21333,18715,19950,37446,37447,19951,35883,37449
2330,8,21334,37446,19950,17576,37448,37449,35883,19952
2331,8,18942,19951,37447,21335,19952,35883,37449,37448
2332,8,18055,21336,37450,21338,21339,37451,37454,37452
2333,8,21336,1777,21337,37450,37451,9111,37453,37454
2334,8,21338,37450,21337,18060,37452,37454,37453,21340
2335,8,1750,9111,37451,21339,21340,37453,37454,37452
2336,8,2360,2361,37455,21342,21343,37456,37459,37457
2337,8,2361,138,21341,37455,37456,21345,37458,37459
2338,8,21342,37455,21341,18246,37457,37459,37458,21344
2339,8,18262,21345,37456,21343,21344,37458,37459,37457
2340,8,18000,21346,37460,21348,21349,37461,37464,37462
2341,8,21346,18002,21347,37460,37461,21351,37463,37464
2342,8,21348,37460,21347,17623,37462,37464,37463,21350
2343,8,18831,21351,37461,21349,21350,37463,37464,37462
2344,8,17613,21352,37465,21216,21353,37466,37468,37467
2345,8,21352,18000,21348,37465,37466,21349,37462,37468
2346,8,21216,37465,21348,17623,37467,37468,37462,21350
2347,8,18831,21349,37466,21353,21350,37462,37468,37467
2348,8,18437,21354,37469,21356,21357,37470,37473,37471
2349,8,21354,18447,21355,37469,37470,21359,37472,37473
2350,8,21356,37469,21355,18182,37471,37473,37472,21358
2351,8,18445,21359,37470,21357,21358,37472,37473,37471
2352,8,18001,21360,37474,21362,21121,37475,37478,37476
2353,8,21360,18002,21361,37474,37475,21364,37477,37478
2354,8,21362,37474,21361,18834,37476,37478,37477,21363
2355,8,17982,21364,37475,21121,21363,37477,37478,37476
2356,8,18537,21365,37479,21367,21368,37480,37483,37481
2357,8,21365,3361,21366,37479,37480,14947,37482,37483
2358,8,21367,37479,21366,18533,37481,37483,37482,21369
2359,8,1924,14947,37480,21368,21369,37482,37483,37481
2360,8,17788,21370,37484,21372,21373,37485,37488,37486
2361,8,21370,18601,21371,37484,37485,21374,37487,37488
2362,8,21372,37484,21371,16165,37486,37488,37487,16191
2363,8,3654,21374,37485,21373,16191,37487,37488,37486
2364,8,10559,21375,37489,10575,10576,37490,37492,10621
2365,8,21375,18859,21376,37489,37490,21377,37491,37492
2366,8,10575,37489,21376,10562,10621,37492,37491,10574
2367,8,2337,21377,37490,10576,10574,37491,37492,10621
2368,8,17902,21378,37493,21380,21381,37494,37497,37495
2369,8,21378,17903,21379,37493,37494,21383,37496,37497
2370,8,21380,37493,21379,17900,37495,37497,37496,21382
2371,8,17875,21383,37494,21381,21382,37496,37497,37495
2372,8,18585,20784,37498,21384,20786,36830,37500,37499
2373,8,20784,15972,16008,37498,36830,19692,35649,37500
2374,8,21384,37498,16008,15981,37499,37500,35649,19735
2375,8,18568,19692,36830,20786,19735,35649,37500,37499
2376,8,18074,21385,37501,21386,21387,37502,37505,37503
2377,8,21385,18085,20518,37501,37502,21287,37504,37505
2378,8,21386,37501,20518,18082,37503,37505,37504,21388
2379,8,18081,21287,37502,21387,21388,37504,37505,37503
2380,8,18755,21389,37506,21391,21392,37507,37510,37508
2381,8,21389,17660,21390,37506,37507,21394,37509,37510
2382,8,21391,37506,21390,17621,37508,37510,37509,21393
2383,8,17665,21394,37507,21392,21393,37509,37510,37508
2384,8,18772,21395,37511,20497,21397,37512,37515,37513
2385,8,21395,17901,21396,37511,37512,21399,37514,37515
2386,8,20497,37511,21396,17666,37513,37515,37514,21398
2387,8,17622,21399,37512,21397,21398,37514,37515,37513
2388,8,18451,21400,37516,21402,21403,37517,37520,37518
2389,8,21400,18552,21401,37516,37517,21405,37519,37520
2390,8,21402,37516,21401,18554,37518,37520,37519,21404
2391,8,18438,21405,37517,21403,21404,37519,37520,37518
2392,8,2081,9784,9811,2080,21406,37521,37524,37522
2393,8,9784,2105,9783,9811,37521,21408,37523,37524
2394,8,2080,9811,9783,2079,37522,37524,37523,21407
2395,8,18059,21408,37521,21406,21407,37523,37524,37522
2396,8,2665,11699,11733,2664,21409,37525,37528,37526
2397,8,11699,11674,11698,11733,37525,21411,37527,37528
2398,8,2664,11733,11698,2663,37526,37528,37527,21410
2399,8,18365,21411,37525,21409,21410,37527,37528,37526
2400,8,18580,21412,37529,21413,21307,37530,37532,37531
2401,8,21412,15909,15924,37529,37530,15927,15950,37532
2402,8,21413,37529,15924,15907,37531,37532,15950,15928
2403,8,15905,15927,37530,21307,15928,15950,37532,37531
2404,8,17859,21414,37533,21416,21417,37534,37537,37535
2405,8,21414,965,21415,37533,37534,6145,37536,37537
2406,8,21416,37533,21415,17865,37535,37537,37536,21418
2407,8,980,6145,37534,21417,21418,37536,37537,37535
2408,8,18496,21419,37538,21421,21422,37539,37542,37540
2409,8,21419,18515,21420,37538,37539,19294,37541,37542
2410,8,21421,37538,21420,18511,37540,37542,37541,21423
2411,8,18513,19294,37539,21422,21423,37541,37542,37540
2412,8,18177,21424,37543,21426,21427,37544,37547,37545
2413,8,21424,18436,21425,37543,37544,21429,37546,37547
2414,8,21426,37543,21425,18170,37545,37547,37546,21428
2415,8,18863,21429,37544,21427,21428,37546,37547,37545
2416,8,18573,21430,37548,21432,21433,37549,37552,37550
2417,8,21430,18572,21431,37548,37549,20500,37551,37552
2418,8,21432,37548,21431,18755,37550,37552,37551,21392
2419,8,17665,20500,37549,21433,21392,37551,37552,37550
2420,8,2133,15037,37553,21435,15034,15057,37556,37554
2421,8,15037,3377,21434,37553,15057,3376,37555,37556
2422,8,21435,37553,21434,18065,37554,37556,37555,21436
2423,8,3375,3376,15057,15034,21436,37555,37556,37554
2424,8,18773,21437,37557,21439,21440,37558,37561,37559
2425,8,21437,18772,21438,37557,37558,20498,37560,37561
2426,8,21439,37557,21438,17967,37559,37561,37560,21441
2427,8,17665,20498,37558,21440,21441,37560,37561,37559
2428,8,18167,21442,37562,21444,21445,37563,37566,37564
2429,8,21442,18168,21443,37562,37563,21446,37565,37566
2430,8,21444,37562,21443,2235,37564,37566,37565,10149
2431,8,2222,21446,37563,21445,10149,37565,37566,37564
2432,8,2306,10397,37567,19278,19277,37568,37570,35159
2433,8,10397,10359,21447,37567,37568,21448,37569,37570
2434,8,19278,37567,21447,18208,35159,37570,37569,19279
2435,8,18217,21448,37568,19277,19279,37569,37570,35159
2436,8,18771,21449,37571,21451,21452,37572,37575,37573
2437,8,21449,18773,21450,37571,37572,21440,37574,37575
2438,8,21451,37571,21450,17626,37573,37575,37574,21453
2439,8,17665,21440,37572,21452,21453,37574,37575,37573
2440,8,18228,21454,37576,19394,19395,37577,37578,35287
2441,8,21454,10451,10467,37576,37577,10466,10519,37578
2442,8,19394,37576,10467,2319,35287,37578,10519,2318
2443,8,2317,10466,37577,19395,2318,10519,37578,35287
2444,8,18836,21455,37579,21457,21098,37580,37583,37581
2445,8,21455,18937,21456,37579,37580,21458,37582,37583
2446,8,21457,37579,21456,17543,37581,37583,37582,21106
2447,8,18005,21458,37580,21098,21106,37582,37583,37581
2448,8,18822,21459,37584,21461,21462,37585,37588,37586
2449,8,21459,18768,21460,37584,37585,21464,37587,37588
2450,8,21461,37584,21460,17641,37586,37588,37587,21463
2451,8,18599,21464,37585,21462,21463,37587,37588,37586
2452,8,18822,21465,37589,21461,21467,37590,37593,37591
2453,8,21465,17680,21466,37589,37590,21469,37592,37593
2454,8,21461,37589,21466,17641,37591,37593,37592,21468
2455,8,17653,21469,37590,21467,21468,37592,37593,37591
2456,8,18276,21470,37594,21472,21473,37595,37598,37596
2457,8,21470,18245,21471,37594,37595,21475,37597,37598
2458,8,21472,37594,21471,18380,37596,37598,37597,21474
2459,8,18270,21475,37595,21473,21474,37597,37598,37596
2460,8,17932,21476,37599,21478,21479,37600,37603,37601
2461,8,21476,17965,21477,37599,37600,21481,37602,37603
2462,8,21478,37599,21477,17938,37601,37603,37602,21480
2463,8,17678,21481,37600,21479,21480,37602,37603,37601
2464,8,5824,21482,37604,5851,5867,37605,37607,5938
2465,8,21482,17833,21483,37604,37605,21484,37606,37607
2466,8,5851,37604,21483,5810,5938,37607,37606,5886
2467,8,5818,21484,37605,5867,5886,37606,37607,5938
2468,8,18461,21485,37608,21487,21488,37609,37612,37610
2469,8,21485,18913,21486,37608,37609,21490,37611,37612
2470,8,21487,37608,21486,18856,37610,37612,37611,21489
2471,8,18466,21490,37609,21488,21489,37611,37612,37610
2472,8,16548,20577,37613,16589,16590,37614,37616,16640
2473,8,20577,18626,21491,37613,37614,21492,37615,37616
2474,8,16589,37613,21491,237,16640,37616,37615,3712
2475,8,3713,21492,37614,16590,3712,37615,37616,16640
2476,8,17662,21493,37617,21495,21496,37618,37621,37619
2477,8,21493,17660,21494,37617,37618,21497,37620,37621
2478,8,21495,37617,21494,17654,37619,37621,37620,21255
2479,8,17652,21497,37618,21496,21255,37620,37621,37619
2480,8,17999,21498,37622,21500,21501,37623,37626,37624
2481,8,21498,17638,21499,37622,37623,21503,37625,37626
2482,8,21500,37622,21499,18822,37624,37626,37625,21502
2483,8,17998,21503,37623,21501,21502,37625,37626,37624
2484,8,597,4922,4979,4920,21504,37627,37629,37628
2485,8,4922,594,4921,4979,37627,19385,35277,37629
2486,8,4920,4979,4921,4908,37628,37629,35277,19386
2487,8,18007,19385,37627,21504,19386,35277,37629,37628
2488,8,3547,3546,37630,21506,15646,15674,37633,37631
2489,8,3546,3545,21505,37630,15674,15647,37632,37633
2490,8,21506,37630,21505,18613,37631,37633,37632,21507
2491,8,3585,15647,15674,15646,21507,37632,37633,37631
2492,8,5629,20636,36640,20279,20733,37634,37636,36766
2493,8,20636,17805,20637,36640,37634,21508,37635,37636
2494,8,20279,36640,20637,17817,36766,37636,37635,20583
2495,8,17599,21508,37634,20733,20583,37635,37636,36766
2496,8,17935,21509,37637,21511,21512,37638,37641,37639
2497,8,21509,17932,21510,37637,37638,21514,37640,37641
2498,8,21511,37637,21510,17931,37639,37641,37640,21513
2499,8,17940,21514,37638,21512,21513,37640,37641,37639
2500,8,7097,7144,37642,21516,7143,7175,37645,37643
2501,8,7144,1264,21515,37642,7175,1265,37644,37645
2502,8,21516,37642,21515,17932,37643,37645,37644,21517
2503,8,1266,1265,7175,7143,21517,37644,37645,37643
2504,8,18729,21518,37646,19854,20584,37647,37649,36587
2505,8,21518,17602,21519,37646,37647,18971,37648,37649
2506,8,19854,37646,21519,17817,36587,37649,37648,20583
2507,8,17599,18971,37647,20584,20583,37648,37649,36587
2508,8,18328,21520,37650,21522,21523,37651,37654,37652
2509,8,21520,18321,21521,37650,37651,21525,37653,37654
2510,8,21522,37650,21521,18323,37652,37654,37653,21524
2511,8,18325,21525,37651,21523,21524,37653,37654,37652
2512,8,18288,21526,37655,21528,21529,37656,37659,37657
2513,8,21526,18904,21527,37655,37656,21531,37658,37659
2514,8,21528,37655,21527,18401,37657,37659,37658,21530
2515,8,18888,21531,37656,21529,21530,37658,37659,37657
2516,8,7833,7856,37660,21533,7866,7892,37663,37661
2517,8,7856,1399,21532,37660,7892,1398,37662,37663
2518,8,21533,37660,21532,17964,37661,37663,37662,21534
2519,8,78,1398,7892,7866,21534,37662,37663,37661
2520,8,1272,7057,7089,1271,21535,37664,37667,37665
2521,8,7057,1246,7060,7089,37664,21537,37666,37667
2522,8,1271,7089,7060,1270,37665,37667,37666,21536
2523,8,17963,21537,37664,21535,21536,37666,37667,37665
2524,8,1268,1269,37668,21539,7111,7179,37671,37669
2525,8,1269,1270,21538,37668,7179,7146,37670,37671
2526,8,21539,37668,21538,17964,37669,37671,37670,21540
2527,8,7101,7146,7179,7111,21540,37670,37671,37669
2528,8,1270,7132,37672,21538,7146,7180,37674,37670
2529,8,7132,7095,21541,37672,7180,7120,37673,37674
2530,8,21538,37672,21541,17964,37670,37674,37673,21540
2531,8,7101,7120,7180,7146,21540,37673,37674,37670
2532,8,7095,7131,7161,7132,21542,37675,37677,37676
2533,8,7131,1272,1271,7161,37675,21535,37665,37677
2534,8,7132,7161,1271,1270,37676,37677,37665,21536
2535,8,17963,21535,37675,21542,21536,37665,37677,37676
2536,8,3520,21543,37678,21545,21546,37679,37682,37680
2537,8,21543,18575,21544,37678,37679,21548,37681,37682
2538,8,21545,37678,21544,18941,37680,37682,37681,21547
2539,8,18786,21548,37679,21546,21547,37681,37682,37680
2540,8,205,13859,13880,13860,21549,37683,37686,37684
2541,8,13859,13833,13856,13880,37683,21551,37685,37686
2542,8,13860,13880,13856,13837,37684,37686,37685,21550
2543,8,18301,21551,37683,21549,21550,37685,37686,37684
2544,8,18729,19853,35778,19854,21518,37687,37689,37646
2545,8,19853,17803,19855,35778,37687,21552,37688,37689
2546,8,19854,35778,19855,17817,37646,37689,37688,21519
2547,8,17602,21552,37687,21518,21519,37688,37689,37646
2548,8,5827,21553,37690,5848,21555,37691,37694,37692
2549,8,21553,17825,21554,37690,37691,20252,37693,37694
2550,8,5848,37690,21554,5810,37692,37694,37693,21556
2551,8,17828,20252,37691,21555,21556,37693,37694,37692
2552,8,18518,21557,37695,21559,21560,37696,37699,37697
2553,8,21557,18520,21558,37695,37696,19565,37698,37699
2554,8,21559,37695,21558,18494,37697,37699,37698,21561
2555,8,18517,19565,37696,21560,21561,37698,37699,37697
2556,8,17942,21562,37700,21563,21564,37701,37703,37702
2557,8,21562,18822,21461,37700,37701,21462,37586,37703
2558,8,21563,37700,21461,17641,37702,37703,37586,21463
2559,8,18599,21462,37701,21564,21463,37586,37703,37702
2560,8,17946,21565,37704,21567,21568,37705,37708,37706
2561,8,21565,18575,21566,37704,37705,21570,37707,37708
2562,8,21567,37704,21566,18777,37706,37708,37707,21569
2563,8,17787,21570,37705,21568,21569,37707,37708,37706
2564,8,17782,21571,37709,21573,21574,37710,37713,37711
2565,8,21571,17776,21572,37709,37710,21576,37712,37713
2566,8,21573,37709,21572,17786,37711,37713,37712,21575
2567,8,18015,21576,37710,21574,21575,37712,37713,37711
2568,8,785,21577,37714,21579,21580,37715,37718,37716
2569,8,21577,17775,21578,37714,37715,21582,37717,37718
2570,8,21579,37714,21578,17774,37716,37718,37717,21581
2571,8,17718,21582,37715,21580,21581,37717,37718,37716
2572,8,18002,21583,37719,21107,21584,37720,37722,37721
2573,8,21583,7637,7656,37719,37720,7640,7698,37722
2574,8,21107,37719,7656,7634,37721,37722,7698,7670
2575,8,7635,7640,37720,21584,7670,7698,37722,37721
2576,8,17833,21482,37723,21586,21587,37724,37727,37725
2577,8,21482,5824,21585,37723,37724,5868,37726,37727
2578,8,21586,37723,21585,17828,37725,37727,37726,21588
2579,8,5821,5868,37724,21587,21588,37726,37727,37725
2580,8,17703,21589,37728,21591,21592,37729,37732,37730
2581,8,21589,18616,21590,37728,37729,21593,37731,37732
2582,8,21591,37728,21590,3605,37730,37732,37731,3604
2583,8,234,21593,37729,21592,3604,37731,37732,37730
2584,8,18822,21562,37700,21461,21594,37733,37736,37734
2585,8,21562,17942,21563,37700,37733,21596,37735,37736
2586,8,21461,37700,21563,17641,37734,37736,37735,21595
2587,8,18006,21596,37733,21594,21595,37735,37736,37734
2588,8,7920,21597,37737,21599,21600,37738,37741,37739
2589,8,21597,18838,21598,37737,37738,21602,37740,37741
2590,8,21599,37737,21598,18023,37739,37741,37740,21601
2591,8,18016,21602,37738,21600,21601,37740,37741,37739
2592,8,1771,21603,37742,21605,21606,37743,37746,37744
2593,8,21603,18054,21604,37742,37743,21608,37745,37746
2594,8,21605,37742,21604,17756,37744,37746,37745,21607
2595,8,18841,21608,37743,21606,21607,37745,37746,37744
2596,8,611,19366,35258,19368,20331,37747,37750,37748
2597,8,19366,17781,19367,35258,37747,21610,37749,37750
2598,8,19368,35258,19367,18016,37748,37750,37749,21609
2599,8,18015,21610,37747,20331,21609,37749,37750,37748
2600,8,3625,15765,15802,15773,21611,37751,37754,37752
2601,8,15765,15751,15776,15802,37751,21613,37753,37754
2602,8,15773,15802,15776,3526,37752,37754,37753,21612
2603,8,17961,21613,37751,21611,21612,37753,37754,37752
2604,8,18366,21614,37755,21616,21617,37756,37759,37757
2605,8,21614,18893,21615,37755,37756,21619,37758,37759
2606,8,21616,37755,21615,18382,37757,37759,37758,21618
2607,8,18364,21619,37756,21617,21618,37758,37759,37757
2608,8,18022,21620,37760,21622,21623,37761,37764,37762
2609,8,21620,18023,21621,37760,37761,21625,37763,37764
2610,8,21622,37760,21621,17778,37762,37764,37763,21624
2611,8,17776,21625,37761,21623,21624,37763,37764,37762
2612,8,17645,21626,37765,21628,21267,37766,37769,37767
2613,8,21626,17772,21627,37765,37766,21270,37768,37769
2614,8,21628,37765,21627,18609,37767,37769,37768,21629
2615,8,18610,21270,37766,21267,21629,37768,37769,37767
2616,8,17778,21630,37770,21624,19243,37771,37774,37772
2617,8,21630,17711,21631,37770,37771,21633,37773,37774
2618,8,21624,37770,21631,17776,37772,37774,37773,21632
2619,8,17710,21633,37771,19243,21632,37773,37774,37772
2620,8,18848,21634,37775,21636,21637,37776,37779,37777
2621,8,21634,18847,21635,37775,37776,21639,37778,37779
2622,8,21636,37775,21635,18846,37777,37779,37778,21638
2623,8,18239,21639,37776,21637,21638,37778,37779,37777
2624,8,2802,2803,12507,12457,21640,37780,37783,37781
2625,8,2803,2804,12441,12507,37780,21642,37782,37783
2626,8,12457,12507,12441,12419,37781,37783,37782,21641
2627,8,18406,21642,37780,21640,21641,37782,37783,37781
2628,8,18022,21620,37784,21644,19576,37785,37788,37786
2629,8,21620,18023,21643,37784,37785,21646,37787,37788
2630,8,21644,37784,21643,17961,37786,37788,37787,21645
2631,8,1234,21646,37785,19576,21645,37787,37788,37786
2632,8,3625,3626,15848,15823,21647,37789,37792,37790
2633,8,3626,3627,15820,15848,37789,21649,37791,37792
2634,8,15823,15848,15820,1196,37790,37792,37791,21648
2635,8,18576,21649,37789,21647,21648,37791,37792,37790
2636,8,17698,21650,37793,21651,21652,37794,37796,37795
2637,8,21650,607,4951,37793,37794,4953,4992,37796
2638,8,21651,37793,4951,4898,37795,37796,4992,4952
2639,8,4897,4953,37794,21652,4952,4992,37796,37795
2640,8,18424,19354,37797,21653,19321,35241,37800,37798
2641,8,19354,12827,12841,37797,35241,19353,37799,37800
2642,8,21653,37797,12841,12829,37798,37800,37799,21654
2643,8,18422,19353,35241,19321,21654,37799,37800,37798
2644,8,3621,15828,15854,3620,21655,37801,37804,37802
2645,8,15828,1202,15829,15854,37801,19577,37803,37804
2646,8,3620,15854,15829,3619,37802,37804,37803,21656
2647,8,18577,19577,37801,21655,21656,37803,37804,37802
2648,8,2991,2990,37805,19065,13629,13646,37808,37806
2649,8,2990,2989,21657,37805,13646,13623,37807,37808
2650,8,19065,37805,21657,18305,37806,37808,37807,21658
2651,8,13606,13623,13646,13629,21658,37807,37808,37806
2652,8,17661,21659,37809,21660,21661,37810,37813,37811
2653,8,21659,17660,21390,37809,37810,21663,37812,37813
2654,8,21660,37809,21390,17621,37811,37813,37812,21662
2655,8,18582,21663,37810,21661,21662,37812,37813,37811
2656,8,17903,21664,37814,21379,21666,37815,37818,37816
2657,8,21664,17904,21665,37814,37815,21668,37817,37818
2658,8,21379,37814,21665,17900,37816,37818,37817,21667
2659,8,17901,21668,37815,21666,21667,37817,37818,37816
2660,8,17397,21669,37819,17408,17401,37820,37822,17425
2661,8,21669,17479,21670,37819,37820,21671,37821,37822
2662,8,17408,37819,21670,3782,17425,37822,37821,17399
2663,8,17396,21671,37820,17401,17399,37821,37822,17425
2664,8,17537,21672,37823,21674,21675,37824,37827,37825
2665,8,21672,17483,21673,37823,37824,21676,37826,37827
2666,8,21674,37823,21673,384,37825,37827,37826,17365
2667,8,418,21676,37824,21675,17365,37826,37827,37825
2668,8,76,6965,6996,1233,19908,37828,37830,37829
2669,8,6965,1202,6964,6996,37828,19577,35485,37830
2670,8,1233,6996,6964,1234,37829,37830,35485,19578
2671,8,18577,19577,37828,19908,19578,35485,37830,37829
2672,8,14058,21677,37831,21679,21680,37832,37835,37833
2673,8,21677,18216,21678,37831,37832,21682,37834,37835
2674,8,21679,37831,21678,18480,37833,37835,37834,21681
2675,8,18225,21682,37832,21680,21681,37834,37835,37833
2676,8,17726,21683,37836,19897,19896,37837,37839,35828
2677,8,21683,3532,21684,37836,37837,15604,37838,37839
2678,8,19897,37836,21684,17773,35828,37839,37838,19898
2679,8,3511,15604,37837,19896,19898,37838,37839,35828
2680,8,3532,21685,37840,21684,15604,37841,37843,37838
2681,8,21685,18577,20026,37840,37841,21686,37842,37843
2682,8,21684,37840,20026,17773,37838,37843,37842,19898
2683,8,3511,21686,37841,15604,19898,37842,37843,37838
2684,8,18047,21687,37844,21689,20635,37845,37848,37846
2685,8,21687,17781,21688,37844,37845,21691,37847,37848
2686,8,21689,37844,21688,17722,37846,37848,37847,21690
2687,8,17773,21691,37845,20635,21690,37847,37848,37846
2688,8,2519,21692,37849,11181,21694,37850,37853,37851
2689,8,21692,18891,21693,37849,37850,21696,37852,37853
2690,8,11181,37849,21693,2509,37851,37853,37852,21695
2691,8,18323,21696,37850,21694,21695,37852,37853,37851
2692,8,18273,21697,37854,21698,21699,37855,37858,37856
2693,8,21697,143,2397,37854,37855,21701,37857,37858
2694,8,21698,37854,2397,2396,37856,37858,37857,21700
2695,8,18282,21701,37855,21699,21700,37857,37858,37856
2696,8,18188,21702,37859,21704,21705,37860,37863,37861
2697,8,21702,18185,21703,37859,37860,21707,37862,37863
2698,8,21704,37859,21703,18313,37861,37863,37862,21706
2699,8,18192,21707,37860,21705,21706,37862,37863,37861
2700,8,18624,21708,37864,21710,21711,37865,37868,37866
2701,8,21708,17627,21709,37864,37865,21713,37867,37868
2702,8,21710,37864,21709,17796,37866,37868,37867,21712
2703,8,17797,21713,37865,21711,21712,37867,37868,37866
2704,8,2256,2257,10265,10189,21714,37869,37872,37870
2705,8,2257,2258,10232,10265,37869,21716,37871,37872
2706,8,10189,10265,10232,10181,37870,37872,37871,21715
2707,8,18183,21716,37869,21714,21715,37871,37872,37870
2708,8,10926,21717,37873,10928,21719,37874,37877,37875
2709,8,21717,18915,21718,37873,37874,21721,37876,37877
2710,8,10928,37873,21718,10924,37875,37877,37876,21720
2711,8,18302,21721,37874,21719,21720,37876,37877,37875
2712,8,3532,21683,37836,21684,21685,37878,37880,37840
2713,8,21683,17726,19897,37836,37878,21722,37879,37880
2714,8,21684,37836,19897,17773,37840,37880,37879,20026
2715,8,18577,21722,37878,21685,20026,37879,37880,37840
2716,8,3071,3070,14030,13999,13997,37881,37883,14029
2717,8,3070,207,13980,14030,37881,21723,37882,37883
2718,8,13999,14030,13980,13963,14029,37883,37882,13998
2719,8,13968,21723,37881,13997,13998,37882,37883,14029
2720,8,1056,21724,37884,1055,6399,37885,37887,6442
2721,8,21724,17595,21725,37884,37885,21726,37886,37887
2722,8,1055,37884,21725,1054,6442,37887,37886,6396
2723,8,6357,21726,37885,6399,6396,37886,37887,6442
2724,8,17725,21727,37888,21728,21729,37889,37891,37890
2725,8,21727,1409,7862,37888,37889,7861,7889,37891
2726,8,21728,37888,7862,1404,37890,37891,7889,1405
2727,8,1406,7861,37889,21729,1405,7889,37891,37890
2728,8,18691,21730,37892,20921,21732,37893,37896,37894
2729,8,21730,18922,21731,37892,37893,21734,37895,37896
2730,8,20921,37892,21731,18690,37894,37896,37895,21733
2731,8,17498,21734,37893,21732,21733,37895,37896,37894
2732,8,2913,2912,37897,21736,21737,37898,37901,37899
2733,8,2912,2911,21735,37897,37898,21739,37900,37901
2734,8,21736,37897,21735,18416,37899,37901,37900,21738
2735,8,18423,21739,37898,21737,21738,37900,37901,37899
2736,8,18502,21740,37902,21742,21743,37903,37906,37904
2737,8,21740,18916,21741,37902,37903,21744,37905,37906
2738,8,21742,37902,21741,18500,37904,37906,37905,19337
2739,8,18501,21744,37903,21743,19337,37905,37906,37904
2740,8,5824,21745,37907,5851,21482,37908,37910,37604
2741,8,21745,17825,21554,37907,37908,21746,37909,37910
2742,8,5851,37907,21554,5810,37604,37910,37909,21483
2743,8,17833,21746,37908,21482,21483,37909,37910,37604
2744,8,365,21747,37911,4184,4195,37912,37914,4216
2745,8,21747,17528,20163,37911,37912,21748,37913,37914
2746,8,4184,37911,20163,4180,4216,37914,37913,4194
2747,8,4178,21748,37912,4195,4194,37913,37914,4216
2748,8,17645,21749,37915,21751,21256,37916,37919,37917
2749,8,21749,17647,21750,37915,37916,21753,37918,37919
2750,8,21751,37915,21750,17653,37917,37919,37918,21752
2751,8,17652,21753,37916,21256,21752,37918,37919,37917
2752,8,13134,13176,37920,21754,13175,13198,37923,37921
2753,8,13176,2911,21735,37920,13198,13174,37922,37923
2754,8,21754,37920,21735,18416,37921,37923,37922,21755
2755,8,13138,13174,13198,13175,21755,37922,37923,37921
2756,8,164,11811,11824,2574,21756,37924,37927,37925
2757,8,11811,11808,11816,11824,37924,21757,37926,37927
2758,8,2574,11824,11816,2573,37925,37927,37926,19706
2759,8,18375,21757,37924,21756,19706,37926,37927,37925
2760,8,1325,7245,7287,7225,21758,37928,37931,37929
2761,8,7245,7193,7234,7287,37928,21760,37930,37931
2762,8,7225,7287,7234,7195,37929,37931,37930,21759
2763,8,17936,21760,37928,21758,21759,37930,37931,37929
2764,8,17749,20979,37932,21761,21762,37933,37936,37934
2765,8,20979,17770,21156,37932,37933,21764,37935,37936
2766,8,21761,37932,21156,17733,37934,37936,37935,21763
2767,8,753,21764,37933,21762,21763,37935,37936,37934
2768,8,18365,21765,37937,21766,21767,37938,37940,37939
2769,8,21765,174,11655,37937,37938,2642,11665,37940
2770,8,21766,37937,11655,11647,37939,37940,11665,11650
2771,8,2643,2642,37938,21767,11650,11665,37940,37939
2772,8,18350,21768,37941,21770,21771,37942,37945,37943
2773,8,21768,18254,21769,37941,37942,21773,37944,37945
2774,8,21770,37941,21769,18349,37943,37945,37944,21772
2775,8,18247,21773,37942,21771,21772,37944,37945,37943
2776,8,17748,21774,37946,21775,21776,37947,37949,37948
2777,8,21774,17749,21761,37946,37947,21762,37934,37949
2778,8,21775,37946,21761,17733,37948,37949,37934,21763
2779,8,753,21762,37947,21776,21763,37934,37949,37948
2780,8,18550,20135,37950,21778,20140,36097,37953,37951
2781,8,20135,18241,21777,37950,36097,20138,37952,37953
2782,8,21778,37950,21777,18228,37951,37953,37952,21779
2783,8,18127,20138,36097,20140,21779,37952,37953,37951
2784,8,18564,21780,37954,21781,21782,37955,37958,37956
2785,8,21780,18043,20826,37954,37955,21784,37957,37958
2786,8,21781,37954,20826,17730,37956,37958,37957,21783
2787,8,17960,21784,37955,21782,21783,37957,37958,37956
2788,8,1527,8274,8303,8260,21785,37959,37962,37960
2789,8,8274,1524,8263,8303,37959,21787,37961,37962
2790,8,8260,8303,8263,8243,37960,37962,37961,21786
2791,8,18034,21787,37959,21785,21786,37961,37962,37960
2792,8,18409,21788,37963,21790,21791,37964,37967,37965
